Date,Open,High,Low,Close,Volume,Adj Close
1991-08-21,270.999,270.999,270.999,270.999,000,31.662
1991-08-20,266.001,266.001,266.001,266.001,000,31.078
1991-08-19,264.00,264.00,264.00,264.00,000,30.844
1991-08-16,276.00,276.00,276.00,276.00,000,32.246
1991-08-15,272.001,272.001,272.001,272.001,000,31.779
1991-08-14,270.999,270.999,270.999,270.999,000,31.662
1991-08-13,267.999,267.999,267.999,267.999,000,31.311
1991-08-12,266.001,266.001,266.001,266.001,000,31.078
1991-08-09,265.50,265.50,265.50,265.50,000,31.019
1991-08-08,273.00,273.00,273.00,273.00,000,31.895
1991-08-07,276.999,276.999,276.999,276.999,000,32.363
1991-08-06,278.001,278.001,278.001,278.001,000,32.48
1991-08-05,279.00,279.00,279.00,279.00,000,32.596
1991-08-02,284.001,284.001,284.001,284.001,000,33.181
1991-08-01,280.50,280.50,280.50,280.50,000,32.772
1991-07-31,276.00,276.00,276.00,276.00,000,32.246
1991-07-30,273.999,273.999,273.999,273.999,000,32.012
1991-07-29,275.001,275.001,275.001,275.001,000,32.129
1991-07-26,275.001,275.001,275.001,275.001,000,32.129
1991-07-25,274.50,274.50,274.50,274.50,000,32.071
1991-07-24,273.00,273.00,273.00,273.00,000,31.895
1991-07-23,279.00,279.00,279.00,279.00,000,32.596
1991-07-22,281.001,281.001,281.001,281.001,000,32.83
1991-07-19,282.00,282.00,282.00,282.00,000,32.947
1991-07-18,285.999,285.999,285.999,285.999,000,33.414
1991-07-17,288.00,288.00,288.00,288.00,000,33.648
1991-07-16,285.999,285.999,285.999,285.999,000,33.414
1991-07-15,282.00,282.00,282.00,282.00,000,32.947
1991-07-12,279.999,279.999,279.999,279.999,000,32.713
1991-07-11,282.00,282.00,282.00,282.00,000,32.947
1991-07-10,279.999,279.999,279.999,279.999,000,32.713
1991-07-09,278.001,278.001,278.001,278.001,000,32.48
1991-07-08,270.999,270.999,270.999,270.999,000,31.662
1991-07-05,272.001,272.001,272.001,272.001,000,31.779
1991-07-04,272.001,272.001,272.001,272.001,000,31.779
1991-07-03,267.999,267.999,267.999,267.999,000,31.311
1991-07-02,266.001,266.001,266.001,266.001,000,31.078
1991-07-01,264.00,264.00,264.00,264.00,000,30.844
1991-06-28,260.001,260.001,260.001,260.001,000,30.377
1991-06-27,264.999,264.999,264.999,264.999,000,30.961
1991-06-26,263.499,263.499,263.499,263.499,000,30.785
1991-06-25,264.999,264.999,264.999,264.999,000,30.961
1991-06-24,269.001,269.001,269.001,269.001,000,31.428
1991-06-21,273.999,273.999,273.999,273.999,000,32.012
1991-06-20,270.999,270.999,270.999,270.999,000,31.662
1991-06-19,267.00,267.00,267.00,267.00,000,31.194
1991-06-18,267.999,267.999,267.999,267.999,000,31.311
1991-06-17,275.001,275.001,275.001,275.001,000,32.129
1991-06-14,278.001,278.001,278.001,278.001,000,32.48
1991-06-13,279.00,279.00,279.00,279.00,000,32.596
1991-06-12,279.00,279.00,279.00,279.00,000,32.596
1991-06-11,279.999,279.999,279.999,279.999,000,32.713
1991-06-10,281.001,281.001,281.001,281.001,000,32.83
1991-06-07,279.00,279.00,279.00,279.00,000,32.596
1991-06-06,282.00,282.00,282.00,282.00,000,32.947
1991-06-05,282.999,282.999,282.999,282.999,000,33.064
1991-06-04,285.999,285.999,285.999,285.999,000,33.414
1991-06-03,285.999,285.999,285.999,285.999,000,33.414
1991-05-31,284.001,284.001,284.001,284.001,000,33.181
1991-05-30,285.00,285.00,285.00,285.00,000,33.297
1991-05-29,285.00,285.00,285.00,285.00,000,33.297
1991-05-28,282.999,282.999,282.999,282.999,000,33.064
1991-05-27,279.999,279.999,279.999,279.999,000,32.713
1991-05-24,279.999,279.999,279.999,279.999,000,32.713
1991-05-23,282.999,282.999,282.999,282.999,000,33.064
1991-05-22,282.00,282.00,282.00,282.00,000,32.947
1991-05-21,282.999,282.999,282.999,282.999,000,33.064
1991-05-20,279.999,279.999,279.999,279.999,000,32.713
1991-05-17,281.001,281.001,281.001,281.001,000,32.83
1991-05-16,278.001,278.001,278.001,278.001,000,32.48
1991-05-15,282.999,282.999,282.999,282.999,000,33.064
1991-05-14,282.00,282.00,282.00,282.00,000,32.947
1991-05-13,285.999,285.999,285.999,285.999,000,33.414
1991-05-10,290.001,290.001,290.001,290.001,000,33.882
1991-05-09,288.999,288.999,288.999,288.999,000,33.765
1991-05-08,288.00,288.00,288.00,288.00,000,33.648
1991-05-07,293.001,293.001,293.001,293.001,000,34.232
1991-05-06,294.999,294.999,294.999,294.999,000,34.466
1991-05-03,294.999,294.999,294.999,294.999,000,34.466
1991-05-02,296.001,296.001,296.001,296.001,000,34.583
1991-05-01,287.001,287.001,287.001,287.001,000,33.531
1991-04-30,276.999,276.999,276.999,276.999,000,32.363
1991-04-29,276.999,276.999,276.999,276.999,000,32.363
1991-04-26,273.00,273.00,273.00,273.00,000,31.895
1991-04-25,273.999,273.999,273.999,273.999,000,32.012
1991-04-24,273.00,273.00,273.00,273.00,000,31.895
1991-04-23,275.001,275.001,275.001,275.001,000,32.129
1991-04-22,273.999,273.999,273.999,273.999,000,32.012
1991-04-19,282.00,282.00,282.00,282.00,000,32.947
1991-04-18,282.999,282.999,282.999,282.999,000,33.064
1991-04-17,284.001,284.001,284.001,284.001,000,33.181
1991-04-16,282.00,282.00,282.00,282.00,000,32.947
1991-04-15,282.999,282.999,282.999,282.999,000,33.064
1991-04-12,287.499,287.499,287.499,287.499,000,33.589
1991-04-11,287.001,287.001,287.001,287.001,000,33.531
1991-04-10,285.999,285.999,285.999,285.999,000,33.414
1991-04-09,287.001,287.001,287.001,287.001,000,33.531
